target_name	tlen	query_name	qlen	fullseq_Evalue	dom_N	dom_of	dom_cEvalue	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	hmm_frac
108_T319.2-R1	895	pbNB-ARC	338	4.6999999999999993e-110	1	1	1.2e-109	2	338	157	487	156	487	0.9940828402366864
108_T319.2-R1	895	LRR_8	61	3.6e-12	1	5	0.003	22	60	513	549	511	549	0.6229508196721312
108_T319.2-R1	895	LRR_4	43	3.4e-9	2	8	1.3e-5	1	31	563	595	563	602	0.6976744186046512
108_T319.2-R1	895	LRR_8	61	3.6e-12	3	5	0.04	22	56	607	640	600	645	0.5573770491803278
108_T319.2-R1	895	LRR_4	43	3.4e-9	6	8	6.5	2	28	686	711	685	720	0.6046511627906976
108_T319.2-R1	895	LRR_8	61	3.6e-12	5	5	0.33	2	55	746	765	745	777	0.8688524590163934
108_T319.2-R1	895	LRR_4	43	3.4e-9	8	8	0.0015	1	38	800	840	800	844	0.8604651162790697
108_T329-R1	856	Rx_N2	137	1.7e-46	1	3	1e-46	1	136	1	139	1	140	0.9854014598540146
108_T329-R1	856	pbNB-ARC	338	6.8999999999999984e-102	1	1	9.999999999999999e-102	3	338	154	482	152	482	0.9911242603550295
108_T329-R1	856	LRR_8	61	4.6e-17	1	3	2.2e-15	1	61	533	593	533	593	0.9836065573770492
108_T329-R1	856	LRR_8	61	4.6e-17	2	3	0.012	17	56	597	635	591	640	0.639344262295082
108_T329-R1	856	LRR_4	43	8.3e-12	7	8	3.3	23	40	762	777	753	780	0.3953488372093023
108_T329-R1	856	LRR_4	43	8.3e-12	8	8	0.59	17	34	818	835	800	841	0.3953488372093023
108_T390-R1	907	Rx_N	93	5.5e-23	1	1	7.8e-23	1	89	5	93	5	115	0.946236559139785
108_T390-R1	907	pbNB-ARC	338	4.299999999999999e-111	1	1	6.499999999999999e-111	2	337	163	501	162	502	0.9911242603550295
108_T413-R1	912	Rx_N	93	4.5e-24	1	1	7.199999999999999e-24	1	90	5	94	5	132	0.956989247311828
108_T413-R1	912	pbNB-ARC	338	1.0999999999999999e-112	1	1	1.6e-112	2	337	168	505	167	506	0.9911242603550295
108_T413-R1	912	LRR_4	43	4.7e-5	1	6	0.04	13	33	569	589	553	603	0.46511627906976744
108_T413-R1	912	LRR_4	43	4.7e-5	4	6	0.76	2	28	676	702	675	708	0.6046511627906976
108_T413-R1	912	LRR_4	43	4.7e-5	6	6	0.0017	1	33	846	880	836	885	0.7441860465116279
108_T453-R1	911	Rx_N	93	1.5e-21	1	1	2.4e-21	2	89	6	93	5	113	0.9354838709677419
108_T453-R1	911	pbNB-ARC	338	4.4e-132	1	1	7.1e-132	2	337	165	509	164	510	0.9911242603550295
108_T453-R1	911	LRR_8	61	1.5e-5	1	5	7.8e-4	6	58	540	594	538	597	0.8524590163934426
108_T453-R1	911	LRR_8	61	1.5e-5	2	5	1.4e-4	4	56	613	663	610	665	0.8524590163934426
108_T453-R1	911	"NACHT"	166	4.5e-5	2	2	3.6	76	144	700	727	688	742	0.40963855421686746
108_T453-R1	911	LRR_8	61	1.5e-5	4	5	8.9	1	27	775	801	775	806	0.4262295081967213
108_T453-R1	911	LRR_8	61	1.5e-5	5	5	2.7	2	30	849	876	848	879	0.45901639344262296
108_T458-R1	882	Rx_N2	137	1e-48	1	3	6.199999999999999e-49	1	136	1	142	1	143	0.9854014598540146
108_T458-R1	882	pbNB-ARC	338	2.9e-121	1	1	4.9e-121	1	338	156	488	156	488	0.9970414201183432
108_T458-R1	882	LRR_8	61	4.9e-17	1	5	1.6e-14	1	61	539	600	539	600	0.9836065573770492
108_T458-R1	882	LRR_8	61	4.9e-17	3	5	0.32	22	56	608	641	598	645	0.5573770491803278
108_T458-R1	882	LRR_4	43	9.7e-12	4	6	8.6	3	17	675	689	675	696	0.32558139534883723
108_T458-R1	882	LRR_4	43	9.7e-12	5	6	0.038	12	38	748	775	736	779	0.6046511627906976
108_T458-R1	882	LRR_4	43	9.7e-12	6	6	0.052	1	38	796	837	796	841	0.8604651162790697
108_T461-R1	910	Rx_N2	137	2.4999999999999997e-43	1	1	4.3e-43	1	135	1	141	1	143	0.9781021897810219
108_T461-R1	910	pbNB-ARC	338	3.599999999999999e-120	1	1	4.9999999999999994e-120	2	338	155	482	154	482	0.9940828402366864
108_T461-R1	910	LRR_8	61	7.5e-18	1	4	1.6e-12	1	61	533	593	533	593	0.9836065573770492
108_T461-R1	910	LRR_4	43	1e-15	3	9	2.5e-5	5	38	585	620	583	625	0.7674418604651163
108_T461-R1	910	LRR_8	61	7.5e-18	3	4	0.15	2	59	718	783	717	785	0.9344262295081968
108_T461-R1	910	LRR_4	43	1e-15	9	9	4.9	2	18	852	869	851	881	0.37209302325581395
108_T473-R1	892	Rx_N2	137	2.6e-52	1	1	2.4e-52	1	136	1	141	1	142	0.9854014598540146
108_T473-R1	892	pbNB-ARC	338	4.6999999999999993e-110	1	1	6.799999999999999e-110	2	338	155	482	154	482	0.9940828402366864
108_T473-R1	892	LRR_8	61	1.9e-11	2	6	1.9e-11	1	61	533	593	533	593	0.9836065573770492
108_T473-R1	892	LRR_8	61	1.9e-11	3	6	0.042	24	56	603	634	594	635	0.5245901639344263
108_T473-R1	892	LRR_8	61	1.9e-11	4	6	5.4	20	40	698	718	683	719	0.32786885245901637
108_T473-R1	892	LRR_8	61	1.9e-11	5	6	1.1	13	35	741	763	739	777	0.36065573770491804
108_T473-R1	892	LRR_4	43	1.8e-6	7	7	0.69	2	38	794	833	793	838	0.8372093023255814
108_T483-R1	902	Rx_N	93	2.7e-21	1	1	4.8e-21	1	85	5	89	5	119	0.9032258064516129
108_T483-R1	902	pbNB-ARC	338	5.0999999999999996e-110	1	1	8.399999999999999e-110	2	337	163	496	162	497	0.9911242603550295
108_T483-R1	902	DUF6198	217	5.9e-6	1	2	1.1e-5	60	128	563	633	516	674	0.31336405529953915
108_T483-R1	902	LRR_4	43	6.1e-6	5	7	4.7	14	29	705	718	686	722	0.3488372093023256
108_T483-R1	902	LRR_4	43	6.1e-6	6	7	1.4	2	18	740	755	734	768	0.37209302325581395
108_T483-R1	902	LRR_4	43	6.1e-6	7	7	0.072	1	30	834	865	810	872	0.6744186046511628
108_T495-R1	860	Rx_N2	137	7.599999999999999e-47	1	1	1.1999999999999999e-46	7	136	5	139	2	140	0.9416058394160584
108_T495-R1	860	pbNB-ARC	338	1.5999999999999998e-100	1	1	3e-100	3	338	153	481	151	481	0.9911242603550295
108_T495-R1	860	LRR_8	61	9.9e-16	1	4	3e-14	1	60	532	591	532	592	0.9672131147540983
108_T495-R1	860	LRR_8	61	9.9e-16	3	4	0.14	5	55	607	659	603	661	0.819672131147541
108_T495-R1	860	LRR_4	43	5.3e-11	5	5	9.2	15	37	759	782	758	785	0.5116279069767442
108_T506-R1	857	Rx_N2	137	4.7e-53	1	2	2.8e-53	1	136	1	141	1	142	0.9854014598540146
108_T506-R1	857	pbNB-ARC	338	3.7999999999999995e-100	1	1	5.899999999999999e-100	3	338	156	485	154	485	0.9911242603550295
108_T506-R1	857	LRR_8	61	4.8e-14	2	5	7.7e-14	2	60	538	596	537	597	0.9508196721311475
108_T506-R1	857	LRR_8	61	4.8e-14	3	5	0.069	3	56	610	662	604	663	0.8688524590163934
108_T506-R1	857	LRR_4	43	2.7e-10	8	9	5.4	23	37	768	783	759	786	0.32558139534883723
108_T506-R1	857	LRR_4	43	2.7e-10	9	9	2.3	18	35	825	842	816	847	0.3953488372093023
108_T514.1-R1	851	Rx_N	93	5.7e-21	1	1	8.3e-21	1	89	5	93	5	122	0.946236559139785
108_T514.1-R1	851	pbNB-ARC	338	1.2e-123	1	1	1.9999999999999998e-123	1	338	157	496	157	496	0.9970414201183432
108_T514.1-R1	851	LRR_8	61	9.4e-5	1	4	1.1	13	34	545	566	543	571	0.3442622950819672
108_T514.1-R1	851	LRR_8	61	9.4e-5	3	4	9	25	53	632	660	630	661	0.45901639344262296
108_T514.1-R1	851	LRR_8	61	9.4e-5	4	4	0.024	22	54	679	711	677	712	0.5245901639344263
108_T514.1-R1	851	LRR_4	43	7.7e-4	6	6	4.3	7	28	795	819	790	830	0.4883720930232558
108_T516-R1	921	Rx_N2	137	1.2e-47	1	2	6.899999999999999e-48	1	136	1	141	1	142	0.9854014598540146
108_T516-R1	921	pbNB-ARC	338	8.699999999999999e-119	1	1	1.4000000000000002e-118	4	338	157	484	155	484	0.9881656804733728
108_T516-R1	921	LRR_8	61	1.7e-15	2	5	1.3e-13	2	61	536	595	535	595	0.9672131147540983
108_T516-R1	921	LRR_4	43	2e-9	4	7	1.7	3	29	631	661	628	673	0.6046511627906976
