# --- full sequence --- -------------- this domain ------------- hmm coord ali coord env coord
# target name accession tlen query name accession qlen E-value score bias # of c-Evalue i-Evalue score bias from to from to from to acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
108_T453-R1 - 911 AAA_16 PF13191.8 170 8.7e-08 23.2 0.3 2 2 3.6e-07 3.6e-07 21.2 0.0 3 63 166 230 164 275 0.76 -
108_T221-R1 - 881 AAA_16 PF13191.8 170 9.6e-08 23.1 0.1 1 2 2.7 2.7 -1.1 0.0 1 21 30 50 30 55 0.85 -
108_T221-R1 - 881 AAA_16 PF13191.8 170 9.6e-08 23.1 0.1 2 2 5.8e-07 5.8e-07 20.5 0.0 13 87 174 239 166 290 0.71 -
108_T514.1-R1 - 851 AAA_16 PF13191.8 170 1.1e-07 22.9 0.2 1 2 5.5 5.5 -2.2 0.1 58 127 29 62 7 100 0.53 -
108_T514.1-R1 - 851 AAA_16 PF13191.8 170 1.1e-07 22.9 0.2 2 2 3.8e-07 3.8e-07 21.1 0.0 1 97 157 243 157 314 0.83 -
108_T413-R1 - 912 AAA_16 PF13191.8 170 1.1e-07 22.8 1.5 1 2 2.8 2.8 -1.2 0.0 1 21 30 50 30 55 0.85 -
108_T413-R1 - 912 AAA_16 PF13191.8 170 1.1e-07 22.8 1.5 2 2 5.3e-07 5.3e-07 20.7 0.4 16 94 179 244 168 287 0.58 -
108_T208-R1 - 973 AAA_16 PF13191.8 170 1.3e-07 22.6 0.0 1 1 3.7e-07 3.7e-07 21.2 0.0 10 104 160 252 157 338 0.69 -
108_T269-R1 - 890 AAA_16 PF13191.8 170 1.7e-07 22.3 0.0 1 1 5.2e-07 5.2e-07 20.7 0.0 11 90 163 229 159 269 0.70 -
108_T319.1-R1 - 839 AAA_16 PF13191.8 170 1.8e-07 22.2 0.1 1 1 1.3e-06 1.3e-06 19.4 0.1 12 63 121 179 114 226 0.80 -
108_T516-R1 - 921 AAA_16 PF13191.8 170 2.1e-07 22.0 0.0 1 1 5.6e-07 5.6e-07 20.6 0.0 10 106 160 254 157 338 0.63 -
108_T483-R1 - 902 AAA_16 PF13191.8 170 2.1e-07 22.0 0.0 1 1 6.5e-07 6.5e-07 20.4 0.0 22 85 181 234 165 275 0.70 -
108_T258-R1 - 908 AAA_16 PF13191.8 170 2.6e-07 21.7 0.0 1 1 5.4e-07 5.4e-07 20.6 0.0 2 92 163 254 162 290 0.60 -
108_T458-R1 - 882 AAA_16 PF13191.8 170 3.2e-07 21.4 0.0 1 1 1.2e-06 1.2e-06 19.5 0.0 11 57 163 210 157 268 0.78 -
108_T319.2-R1 - 895 AAA_16 PF13191.8 170 4.3e-07 21.0 0.1 1 1 1.3e-06 1.3e-06 19.4 0.1 11 52 163 210 157 267 0.80 -
108_T329-R1 - 856 AAA_16 PF13191.8 170 7.5e-07 20.2 0.1 1 1 3.2e-06 3.2e-06 18.1 0.1 12 99 160 236 154 264 0.59 -
108_T461-R1 - 910 AAA_16 PF13191.8 170 8e-07 20.1 0.1 1 1 2.7e-06 2.7e-06 18.4 0.1 12 52 162 203 154 265 0.70 -
108_T317-R1 - 927 AAA_16 PF13191.8 170 8.6e-07 20.0 0.0 1 1 1.8e-06 1.8e-06 19.0 0.0 18 144 185 288 181 289 0.80 -
108_T168-R1 - 887 AAA_16 PF13191.8 170 8.6e-07 20.0 0.1 1 1 4.1e-06 4.1e-06 17.8 0.1 13 144 163 265 156 267 0.69 -
108_T495-R1 - 860 AAA_16 PF13191.8 170 2.7e-06 18.4 0.1 1 1 8.4e-06 8.4e-06 16.8 0.1 15 104 162 240 155 264 0.58 -
108_T506-R1 - 857 AAA_16 PF13191.8 170 8.3e-06 16.8 0.2 1 1 3.1e-05 3.1e-05 14.9 0.2 21 100 172 240 159 287 0.64 -
108_T514.1-R1 - 851 AAA_18 PF13238.8 129 1.7e-09 28.9 0.5 1 2 0.45 0.91 0.7 0.2 17 111 9 120 5 131 0.63 -
108_T514.1-R1 - 851 AAA_18 PF13238.8 129 1.7e-09 28.9 0.5 2 2 1.1e-08 2.2e-08 25.3 0.0 4 120 186 314 184 322 0.86 -
108_T258-R1 - 908 AAA_18 PF13238.8 129 2.9e-05 15.2 0.0 1 1 4e-05 8e-05 13.8 0.0 2 83 187 277 186 305 0.71 -
108_T317-R1 - 927 AAA_18 PF13238.8 129 3.1e-05 15.1 0.0 1 2 7.5e-05 0.00015 12.9 0.0 1 45 196 244 196 287 0.75 -
108_T317-R1 - 927 AAA_18 PF13238.8 129 3.1e-05 15.1 0.0 2 2 3.1 6.2 -2.0 0.0 48 114 826 897 808 903 0.67 -
108_T458-R1 - 882 AAA_18 PF13238.8 129 4.3e-05 14.6 0.0 1 1 5.8e-05 0.00012 13.3 0.0 3 61 181 258 179 297 0.75 -
108_T473-R1 - 892 AAA_18 PF13238.8 129 7.3e-05 13.9 0.1 1 2 0.0002 0.00039 11.6 0.0 3 62 179 242 177 299 0.74 -
108_T473-R1 - 892 AAA_18 PF13238.8 129 7.3e-05 13.9 0.1 2 2 8.8 18 -3.5 0.0 27 68 470 511 458 538 0.64 -
108_T329-R1 - 856 AAA_18 PF13238.8 129 7.7e-05 13.8 0.0 1 1 0.0001 0.00021 12.4 0.0 3 107 177 315 175 329 0.77 -
108_T208-R1 - 973 AAA_18 PF13238.8 129 7.7e-05 13.8 0.0 1 1 0.00021 0.00042 11.5 0.0 3 53 179 248 177 271 0.80 -
108_T207-R1 - 950 AAA_18 PF13238.8 129 8.3e-05 13.7 0.0 1 1 0.0002 0.0004 11.5 0.0 3 53 178 247 176 271 0.80 -
108_T495-R1 - 860 AAA_18 PF13238.8 129 8.7e-05 13.7 0.0 1 1 9.5e-05 0.00019 12.6 0.0 3 100 176 306 174 318 0.73 -
108_T516-R1 - 921 AAA_18 PF13238.8 129 0.00014 13.0 0.0 1 1 0.00033 0.00066 10.8 0.0 3 51 179 246 177 273 0.75 -
108_T256-R1 - 900 AAA_18 PF13238.8 129 0.00028 12.0 0.9 1 3 6.8 14 -3.1 0.0 17 60 51 93 47 102 0.70 -
108_T256-R1 - 900 AAA_18 PF13238.8 129 0.00028 12.0 0.9 2 3 0.00055 0.0011 10.1 0.0 2 84 186 277 185 307 0.61 -
108_T256-R1 - 900 AAA_18 PF13238.8 129 0.00028 12.0 0.9 3 3 7.2 14 -3.2 0.0 27 67 466 506 446 547 0.59 -
108_T258-R1 - 908 AAA_22 PF13401.8 137 6.4e-09 26.8 0.0 1 1 1.5e-08 1.5e-08 25.5 0.0 7 99 185 274 181 276 0.80 -
108_T514.1-R1 - 851 AAA_22 PF13401.8 137 1.4e-08 25.7 0.2 1 1 5.3e-08 5.6e-08 23.7 0.0 7 100 182 267 176 270 0.89 -
108_T269-R1 - 890 AAA_22 PF13401.8 137 2.4e-08 24.9 0.0 1 1 6.8e-08 7.1e-08 23.4 0.0 4 99 175 266 172 269 0.88 -
108_T256-R1 - 900 AAA_22 PF13401.8 137 1.3e-07 22.5 0.1 1 2 5.6e-07 5.9e-07 20.4 0.0 6 99 183 273 178 274 0.86 -
108_T256-R1 - 900 AAA_22 PF13401.8 137 1.3e-07 22.5 0.1 2 2 7 7.3 -2.6 0.0 39 62 695 718 663 740 0.58 -
108_T506-R1 - 857 AAA_22 PF13401.8 137 1.9e-07 22.0 0.1 1 2 1.2e-06 1.3e-06 19.3 0.0 10 99 180 264 172 267 0.86 -
108_T506-R1 - 857 AAA_22 PF13401.8 137 1.9e-07 22.0 0.1 2 2 3.2 3.3 -1.5 0.0 106 136 578 610 530 611 0.74 -
108_T461-R1 - 910 AAA_22 PF13401.8 137 2.5e-07 21.6 0.1 1 3 1.7e-06 1.8e-06 18.8 0.0 3 100 173 264 170 277 0.83 -
108_T461-R1 - 910 AAA_22 PF13401.8 137 2.5e-07 21.6 0.1 2 3 7.4 7.8 -2.7 0.0 98 115 651 667 651 695 0.69 -
108_T461-R1 - 910 AAA_22 PF13401.8 137 2.5e-07 21.6 0.1 3 3 3.6 3.7 -1.6 0.0 35 52 690 715 675 730 0.62 -
108_T413-R1 - 912 AAA_22 PF13401.8 137 3.1e-07 21.3 0.0 1 1 8.6e-07 9e-07 19.8 0.0 5 99 188 277 184 278 0.74 -
108_T516-R1 - 921 AAA_22 PF13401.8 137 6e-07 20.4 0.1 1 2 2.7e-06 2.9e-06 18.2 0.0 6 100 175 265 170 270 0.89 -
108_T516-R1 - 921 AAA_22 PF13401.8 137 6e-07 20.4 0.1 2 2 6.5 6.8 -2.5 0.1 94 112 681 706 647 745 0.59 -
108_T208-R1 - 973 AAA_22 PF13401.8 137 9.8e-07 19.7 0.0 1 1 3.5e-06 3.6e-06 17.8 0.0 6 100 175 265 170 270 0.89 -
108_T207-R1 - 950 AAA_22 PF13401.8 137 1.1e-06 19.5 0.0 1 1 3.4e-06 3.5e-06 17.9 0.0 6 100 174 264 169 269 0.89 -
108_T221-R1 - 881 AAA_22 PF13401.8 137 1.2e-06 19.5 0.0 1 1 3.4e-06 3.5e-06 17.9 0.0 6 99 187 275 183 278 0.75 -
108_T317-R1 - 927 AAA_22 PF13401.8 137 6e-06 17.2 0.0 1 1 1.5e-05 1.5e-05 15.8 0.0 7 99 195 287 191 288 0.72 -
108_T483-R1 - 902 AAA_22 PF13401.8 137 7.7e-06 16.8 0.0 1 1 1.9e-05 1.9e-05 15.5 0.0 7 98 185 271 180 273 0.73 -
108_T390-R1 - 907 AAA_22 PF13401.8 137 1.5e-05 15.8 0.0 1 1 6.1e-05 6.4e-05 13.8 0.0 7 66 185 240 179 273 0.76 -
108_T473-R1 - 892 AAA_22 PF13401.8 137 3.9e-05 14.5 0.0 1 1 0.00015 0.00016 12.5 0.0 6 99 175 264 170 267 0.85 -
108_T453-R1 - 911 AAA_22 PF13401.8 137 4.4e-05 14.3 0.0 1 1 0.00013 0.00013 12.8 0.0 7 99 187 274 182 275 0.69 -
108_T329-R1 - 856 AAA_22 PF13401.8 137 6.5e-05 13.8 0.0 1 1 0.0002 0.00021 12.2 0.0 8 99 175 261 169 264 0.85 -
108_T458-R1 - 882 AAA_22 PF13401.8 137 0.00011 13.1 0.0 1 2 1.4 1.5 -0.3 0.0 95 132 122 162 106 167 0.79 -
108_T458-R1 - 882 AAA_22 PF13401.8 137 0.00011 13.1 0.0 2 2 0.0012 0.0013 9.6 0.0 7 99 178 266 173 271 0.73 -
108_T319.2-R1 - 895 AAA_22 PF13401.8 137 0.00013 12.9 0.0 1 2 8.6 9 -2.9 0.0 91 130 115 160 79 166 0.59 -
108_T319.2-R1 - 895 AAA_22 PF13401.8 137 0.00013 12.9 0.0 2 2 0.00081 0.00085 10.2 0.0 6 71 177 240 172 269 0.65 -
108_T495-R1 - 860 AAA_22 PF13401.8 137 0.00013 12.8 0.0 1 1 0.00037 0.00038 11.3 0.0 10 99 176 260 172 262 0.85 -
108_T168-R1 - 887 AAA_22 PF13401.8 137 0.00015 12.6 0.0 1 1 0.00043 0.00045 11.1 0.0 9 99 178 264 170 266 0.80 -
108_T461-R1 - 910 AAA_23 PF13476.8 200 9.1e-05 13.6 0.0 1 1 2.1e-05 0.00023 12.2 0.0 13 39 164 195 160 201 0.91 -
108_T329-R1 - 856 AAA_23 PF13476.8 200 0.002 9.2 8.4 1 4 0.12 1.3 -0.0 0.0 154 185 36 69 22 91 0.64 -
108_T329-R1 - 856 AAA_23 PF13476.8 200 0.002 9.2 8.4 2 4 0.0012 0.014 6.5 0.0 24 39 177 192 171 197 0.91 -
108_T329-R1 - 856 AAA_23 PF13476.8 200 0.002 9.2 8.4 3 4 1.4 15 -3.5 1.0 164 187 217 240 210 260 0.41 -
108_T329-R1 - 856 AAA_23 PF13476.8 200 0.002 9.2 8.4 4 4 0.0019 0.021 5.9 0.0 87 193 521 664 477 673 0.77 -
108_T319.1-R1 - 839 AAA_24 PF13479.8 196 1.3e-05 15.5 0.1 1 1 3.5e-06 2.6e-05 14.6 0.1 5 35 136 164 133 215 0.92 -
108_T256-R1 - 900 AAA_24 PF13479.8 196 9.2e-05 12.7 0.2 1 2 0.8 5.8 -2.9 0.0 67 80 64 77 21 138 0.60 -
108_T256-R1 - 900 AAA_24 PF13479.8 196 9.2e-05 12.7 0.2 2 2 3.4e-05 0.00025 11.4 0.0 5 61 185 242 182 279 0.84 -
108_T461-R1 - 910 AAA_24 PF13479.8 196 0.00026 11.3 0.2 1 1 7.4e-05 0.00055 10.2 0.2 5 26 178 198 176 205 0.85 -
108_T258-R1 - 908 AAA_28 PF13521.8 163 0.00015 12.6 0.1 1 2 2.3e-05 0.00051 10.8 0.0 2 79 186 273 185 275 0.73 -
108_T258-R1 - 908 AAA_28 PF13521.8 163 0.00015 12.6 0.1 2 2 0.23 5 -2.1 0.0 23 63 458 498 450 510 0.69 -
108_T516-R1 - 921 AAA_30 PF13604.8 192 4.4e-05 13.8 0.0 1 1 2.1e-05 7.7e-05 13.0 0.0 8 67 164 227 157 271 0.70 -
108_T207-R1 - 950 AAA_30 PF13604.8 192 5e-05 13.6 0.0 1 1 2.4e-05 8.7e-05 12.8 0.0 8 66 163 225 156 270 0.70 -
108_T208-R1 - 973 AAA_30 PF13604.8 192 5.4e-05 13.5 0.0 1 1 2.4e-05 8.9e-05 12.8 0.0 8 66 164 226 157 271 0.70 -
108_T458-R1 - 882 AAA_30 PF13604.8 192 0.00012 12.4 0.0 1 1 6.1e-05 0.00022 11.5 0.0 11 47 169 212 159 277 0.67 -
108_T319.1-R1 - 839 AAA_30 PF13604.8 192 0.00015 12.1 0.0 1 1 7e-05 0.00026 11.3 0.0 8 49 123 166 121 204 0.82 -
108_T319.2-R1 - 895 AAA_30 PF13604.8 192 0.0002 11.7 0.0 1 1 9.6e-05 0.00035 10.8 0.0 10 49 168 209 159 218 0.81 -
108_T317-R1 - 927 AAA_33 PF13671.8 143 6.4e-07 20.2 0.0 1 1 3.5e-07 1.5e-06 19.0 0.0 1 76 195 286 195 297 0.70 -
108_T258-R1 - 908 AAA_33 PF13671.8 143 8.8e-05 13.3 0.0 1 2 0.43 1.9 -0.8 0.0 55 93 115 156 47 171 0.76 -
108_T258-R1 - 908 AAA_33 PF13671.8 143 8.8e-05 13.3 0.0 2 2 0.00011 0.00049 10.8 0.0 1 40 185 237 185 281 0.67 -
108_T390-R1 - 907 AAA_33 PF13671.8 143 9.4e-05 13.2 0.0 1 2 0.31 1.4 -0.3 0.0 55 101 115 163 82 178 0.73 -
108_T390-R1 - 907 AAA_33 PF13671.8 143 9.4e-05 13.2 0.0 2 2 0.00017 0.00076 10.2 0.0 1 93 185 287 185 353 0.62 -
108_T453-R1 - 911 AAA_33 PF13671.8 143 0.00014 12.6 0.1 1 1 0.00019 0.00081 10.1 0.1 1 122 187 341 187 358 0.53 -
108_T221-R1 - 881 AAA_33 PF13671.8 143 0.00017 12.3 0.0 1 1 9.3e-05 0.00041 11.1 0.0 1 96 188 293 188 325 0.62 -
108_T461-R1 - 910 ABC_tran PF00005.29 137 1.9e-05 15.7 1.6 1 2 0.00025 0.00079 10.5 0.3 13 36 177 200 169 209 0.84 -
108_T461-R1 - 910 ABC_tran PF00005.29 137 1.9e-05 15.7 1.6 2 2 0.065 0.2 2.7 0.0 112 134 241 263 239 265 0.94 -
108_T473-R1 - 892 ABC_tran PF00005.29 137 3.9e-05 14.8 0.0 1 1 5.4e-05 0.00017 12.7 0.0 13 74 176 247 171 294 0.74 -
108_T329-R1 - 856 ABC_tran PF00005.29 137 5.5e-05 14.3 0.1 1 2 2.8 8.7 -2.6 0.0 52 95 35 82 22 102 0.65 -
108_T329-R1 - 856 ABC_tran PF00005.29 137 5.5e-05 14.3 0.1 2 2 7.9e-05 0.00025 12.2 0.0 5 35 166 196 165 271 0.78 -
108_T207-R1 - 950 ABC_tran PF00005.29 137 9e-05 13.6 0.2 1 2 0.47 1.5 -0.1 0.0 53 121 34 102 17 107 0.60 -
108_T207-R1 - 950 ABC_tran PF00005.29 137 9e-05 13.6 0.2 2 2 0.00025 0.00079 10.5 0.0 13 51 175 208 172 272 0.62 -
108_T458-R1 - 882 ABC_tran PF00005.29 137 0.00013 13.0 0.3 1 2 2.7 8.5 -2.5 0.1 53 92 35 79 24 99 0.59 -
108_T458-R1 - 882 ABC_tran PF00005.29 137 0.00013 13.0 0.3 2 2 0.00017 0.00055 11.0 0.0 12 42 177 207 171 272 0.78 -
108_T516-R1 - 921 ABC_tran PF00005.29 137 0.00013 13.0 0.4 1 2 1.2 3.7 -1.4 0.1 68 120 51 102 24 107 0.52 -
108_T516-R1 - 921 ABC_tran PF00005.29 137 0.00013 13.0 0.4 2 2 0.00021 0.00065 10.8 0.0 13 74 176 236 173 273 0.61 -
108_T208-R1 - 973 ABC_tran PF00005.29 137 0.00018 12.6 0.3 1 2 1.3 4.2 -1.5 0.1 68 120 51 102 25 107 0.52 -
108_T208-R1 - 973 ABC_tran PF00005.29 137 0.00018 12.6 0.3 2 2 0.00026 0.00082 10.5 0.0 13 51 176 209 173 273 0.62 -
108_T461-R1 - 910 ATPase_2 PF01637.20 233 2.8e-08 24.4 0.2 1 2 9.9e-08 3.1e-07 21.0 0.1 11 52 166 209 160 271 0.76 -
108_T461-R1 - 910 ATPase_2 PF01637.20 233 2.8e-08 24.4 0.2 2 2 0.13 0.4 1.0 0.0 184 232 301 354 253 355 0.75 -
108_T319.1-R1 - 839 ATPase_2 PF01637.20 233 6.2e-06 16.8 0.0 1 1 5.1e-06 1.6e-05 15.4 0.0 19 91 132 217 121 301 0.82 -
108_T269-R1 - 890 ATPase_2 PF01637.20 233 6.8e-06 16.6 0.0 1 1 5.1e-06 1.6e-05 15.4 0.0 19 94 175 263 163 277 0.78 -
108_T319.2-R1 - 895 ATPase_2 PF01637.20 233 7.9e-06 16.4 0.0 1 1 5.7e-06 1.8e-05 15.3 0.0 6 65 162 224 158 275 0.76 -
108_T168-R1 - 887 ATPase_2 PF01637.20 233 9.5e-06 16.2 0.0 1 1 8.2e-06 2.6e-05 14.7 0.0 22 91 176 258 162 276 0.67 -
108_T458-R1 - 882 ATPase_2 PF01637.20 233 1.8e-05 15.3 0.0 1 1 1.3e-05 4e-05 14.1 0.0 6 71 162 237 158 278 0.70 -
108_T208-R1 - 973 ATPase_2 PF01637.20 233 0.00014 12.4 0.0 1 1 0.00016 0.00049 10.5 0.0 22 76 176 244 159 337 0.79 -
108_T461-R1 - 910 Bac_DnaA PF00308.20 219 0.00019 11.8 0.0 1 1 1.8e-05 0.00041 10.8 0.0 39 67 180 208 170 226 0.86 -
108_T458-R1 - 882 C5HCH PF17982.3 50 6.2e-05 13.7 0.2 1 1 9.2e-06 0.0002 12.1 0.2 13 37 101 125 94 131 0.89 -
108_T208-R1 - 973 CbiA PF01656.25 127 0.00013 12.6 0.0 1 1 0.00011 0.00078 10.1 0.0 6 122 181 668 176 670 0.85 -
108_T207-R1 - 950 CbiA PF01656.25 127 0.00013 12.6 0.0 1 1 0.00011 0.00078 10.1 0.0 6 122 180 679 175 681 0.84 -
108_T317-R1 - 927 CbiA PF01656.25 127 0.00039 11.1 2.8 1 2 0.23 1.7 -0.7 0.3 7 25 51 69 48 75 0.84 -
108_T317-R1 - 927 CbiA PF01656.25 127 0.00039 11.1 2.8 2 2 6.2e-05 0.00045 10.8 0.2 2 22 196 216 195 222 0.82 -
108_T473-R1 - 892 CCDC-167 PF15188.8 84 0.0065 7.5 6.6 1 2 7.5e-05 0.0016 9.4 0.9 6 41 29 66 27 93 0.82 -
108_T473-R1 - 892 CCDC-167 PF15188.8 84 0.0065 7.5 6.6 2 2 0.077 1.7 -0.3 0.6 56 67 793 804 773 807 0.81 -
108_T269-R1 - 890 Cypo_polyhedrin PF05865.13 248 7.4e-06 16.0 0.0 1 1 6.2e-07 1.4e-05 15.1 0.0 3 81 376 454 374 463 0.89 -
108_T269-R1 - 890 DUF1846 PF08903.13 489 0.00023 10.3 0.0 1 1 1.8e-05 0.0004 9.5 0.0 367 428 14 75 4 107 0.83 -
108_T207-R1 - 950 DUF2203 PF09969.11 122 2.2e-05 15.8 0.2 1 1 1.1e-05 7.9e-05 14.0 0.2 23 79 29 87 21 95 0.75 -
108_T208-R1 - 973 DUF2203 PF09969.11 122 3e-05 15.3 0.1 1 1 1.5e-05 0.00011 13.5 0.1 22 79 29 88 18 96 0.74 -
108_T516-R1 - 921 DUF2203 PF09969.11 122 3.2e-05 15.3 0.2 1 1 1.5e-05 0.00011 13.5 0.2 22 79 29 88 18 97 0.74 -
108_T207-R1 - 950 DUF5906 PF19263.1 111 0.00018 12.9 0.0 1 1 8.7e-05 0.00064 11.1 0.0 1 97 178 290 178 305 0.61 -
108_T461-R1 - 910 DUF5906 PF19263.1 111 0.00019 12.8 0.0 1 2 0.84 6.1 -1.7 0.0 42 96 8 75 2 85 0.64 -
108_T461-R1 - 910 DUF5906 PF19263.1 111 0.00019 12.8 0.0 2 2 0.00012 0.00086 10.7 0.0 1 97 180 290 180 302 0.62 -
108_T208-R1 - 973 DUF5906 PF19263.1 111 0.00021 12.7 0.2 1 2 0.0001 0.00073 10.9 0.0 1 97 179 291 179 305 0.60 -
108_T208-R1 - 973 DUF5906 PF19263.1 111 0.00021 12.7 0.2 2 2 2 15 -2.9 0.0 85 98 735 748 712 758 0.77 -
108_T483-R1 - 902 DUF6198 PF19700.1 217 5.9e-06 16.6 1.6 1 2 1.1e-05 0.00012 12.3 0.1 60 128 563 633 516 674 0.75 -
108_T483-R1 - 902 DUF6198 PF19700.1 217 5.9e-06 16.6 1.6 2 2 0.0062 0.069 3.3 0.2 45 95 695 745 678 772 0.70 -
108_T453-R1 - 911 DUF6198 PF19700.1 217 0.00014 12.1 0.1 1 1 2.2e-05 0.00024 11.3 0.1 42 124 564 642 547 707 0.67 -
108_T514.1-R1 - 851 Erp_C PF06780.13 140 0.0001 12.9 0.6 1 2 0.00028 0.0062 7.1 0.2 102 130 23 51 8 60 0.85 -
108_T514.1-R1 - 851 Erp_C PF06780.13 140 0.0001 12.9 0.6 2 2 0.0054 0.12 3.0 0.0 6 40 113 155 109 174 0.76 -
108_T506-R1 - 857 FANCL_d2 PF18890.2 91 9.7e-05 13.4 0.2 1 2 0.12 2.7 -0.8 0.1 42 90 610 659 574 660 0.74 -
108_T506-R1 - 857 FANCL_d2 PF18890.2 91 9.7e-05 13.4 0.2 2 2 5.9e-05 0.0013 9.8 0.0 7 78 700 771 698 776 0.91 -
108_T483-R1 - 902 Flot PF15975.7 124 0.00011 12.8 0.1 1 1 1.2e-05 0.00026 11.6 0.1 58 82 170 195 165 206 0.84 -
108_T256-R1 - 900 FNIP PF05725.14 44 0.0052 7.6 5.1 1 5 0.13 2.8 -1.2 0.0 8 19 413 424 411 437 0.71 -
108_T256-R1 - 900 FNIP PF05725.14 44 0.0052 7.6 5.1 2 5 0.031 0.67 0.8 0.1 8 18 615 625 587 627 0.62 -
108_T256-R1 - 900 FNIP PF05725.14 44 0.0052 7.6 5.1 3 5 0.76 17 -3.6 0.0 10 18 656 675 651 683 0.67 -
108_T256-R1 - 900 FNIP PF05725.14 44 0.0052 7.6 5.1 4 5 0.0013 0.028 5.3 0.1 14 44 748 778 746 778 0.84 -
108_T256-R1 - 900 FNIP PF05725.14 44 0.0052 7.6 5.1 5 5 0.2 4.3 -1.7 0.0 13 21 865 873 853 876 0.65 -
108_T258-R1 - 908 GAIN_A PF18619.3 48 6.8e-05 13.6 0.0 1 1 9.2e-06 0.0002 12.1 0.0 7 22 34 49 30 60 0.81 -
108_T461-R1 - 910 KAP_NTPase PF07693.16 326 4.7e-05 13.2 0.0 1 1 3.4e-06 7.4e-05 12.6 0.0 4 47 161 202 158 319 0.87 -
